"rodne_pid","trid","rodne_uid","site_name","uid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","multi_add"
"A05","43","A050053_new","Ashland","AW31_043_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",15.2654495538167,0,"CUT STUMP",2,NA,NA,NA,NA,NA,2005,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1433473.375,"Ridge Top",NA,2011,6,570,781,212,1248,2.99212598425197,0.145066723146496,0.048830046807765,154,285,206,"Ponderosa pine - Dry,Warm,Ridge Top",-122.73195903,42.16751545,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,NA,NA,NA,NA,NA,NA,NA,NA,2005,2005,1956,NA
"A05","8","A050015_new","Ashland","AW31_008_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",10.9835621657599,0,"CUT STUMP",2,NA,NA,NA,NA,NA,2005,"PIPO-PSME","Ponderosa pine - Dry","Northern Rocky Mountain Ponderosa Pine Woodland and Savanna - Mesic","Warm",1433473.375,"Ridge Top",NA,2011,6,570,781,212,1248,2.99212598425197,0.145066723146496,0.048830046807765,154,285,206,"Ponderosa pine - Dry,Warm,Ridge Top",-122.73195903,42.16751545,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,NA,NA,NA,NA,NA,NA,NA,NA,2005,2005,1956,NA
"A07","11","A070030_002_new","Ashland","AW69_011_02_002_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",21.7908748645965,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,0.984251968503937,0.024488944517889,0.00528372217016155,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1959,NA
"A07","22","A070039_004_new","Ashland","AW69_022_02_004_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",20.6789318715663,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,0.984251968503937,0.024488944517889,0.00528372217016155,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1959,NA
"A07","7","A070025_new","Ashland","AW69_007_02_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",13.3079492363691,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,2.79527559055118,0.130100633523509,0.042616389535655,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963,NA
"A07","74","A070096_new","Ashland","AW69_074_02_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","QUKE",19.8217775316906,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,3,534,738,204,923,0.984251968503937,0.024488944517889,0.00528372217016155,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,"Misc hardwoods","Other","Small",0.0716364450414148,0.133833333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1959,NA
"A07","75","A070101_001_new","Ashland","AW69_075_05_001_new","5_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",31.860737972656,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,2.95275590551181,0.14202476352394,0.0475534995314539,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926,NA
"A07","82","A070112_new","Ashland","AW69_082_02_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",19.9354961958759,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/DRY SHRUB","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",916706.0625,"Mid Slope",NA,2012,6,534,738,204,923,0.984251968503937,0.024488944517889,0.00528372217016155,255,267,168,"Douglas-fir - Dry,Cool,Mid Slope",-122.70899549,42.16578451,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1927,NA
"A09","31","A090035_new","Ashland","AW21_031_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ACMA",20.3245047090546,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"ABCO-PSME/ROGY","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",1007686.938,"Bottom Slope",NA,2011,6,571,821,250,946,7.83464566929134,0.676754224839765,0.334785090656908,101,216,152,"White fir - Intermediate,Cool,Bottom Slope",-122.71158292,42.16080867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1921,NA
"A12","3","A120023_002_new","Ashland","AW73_003_03_002_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",22.7283760432986,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1284636.75,"Mid Slope",NA,2012,6,540,725,185,1032,2.95275590551181,0.14202476352394,0.0475534995314539,231,325,211,"Douglas-fir - Dry,Warm,Mid Slope",-122.70004468,42.15691476,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1940,NA
"A12","66","A120093_new","Ashland","AW73_066_01_new","1_new",1,54,"Hardwood","A","density",0.1,NA,"NO","ARME",18.2347064892637,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1284636.75,"Mid Slope",NA,2012,6,540,725,185,1032,4.25196850393701,0.254532980033102,0.0986069366284229,231,325,211,"Douglas-fir - Dry,Warm,Mid Slope",-122.70004468,42.15691476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1932,NA
"A12","78","A120128_new","Ashland","AW73_078_02_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",17.3085814030032,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1284636.75,"Mid Slope",NA,2012,6,540,725,185,1032,4.17322834645669,0.247033264668595,0.0949886436862962,231,325,211,"Douglas-fir - Dry,Warm,Mid Slope",-122.70004468,42.15691476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1944,NA
"A12","79","A120131_new","Ashland","AW73_079_03_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",27.0443869964398,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1284636.75,"Mid Slope",NA,2012,6,540,725,185,1032,2.95275590551181,0.14202476352394,0.0475534995314539,231,325,211,"Douglas-fir - Dry,Warm,Mid Slope",-122.70004468,42.15691476,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2008,2008,2008,2008,1940,NA
"A12","80","A120135_new","Ashland","AW73_080_04_new","4_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",22.4166122759242,0,"CUT STUMP",2,NA,NA,NA,NA,NA,1999,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1284636.75,"Mid Slope",NA,2012,6,540,725,185,1032,4.50751692913386,0.279447215420213,0.110815911306506,231,325,211,"Douglas-fir - Dry,Warm,Mid Slope",-122.70004468,42.15691476,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,1999,1999,1932,NA
"A15","2","A150014_new","Ashland","AW20_002_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",17.4629686308453,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1069840.625,"Ridge Top",NA,2011,6,564,800,236,991,4.25196850393701,0.254532980033102,0.0986069366284229,214,192,111,"Douglas-fir - Dry,Cool,Ridge Top",-122.7219972,42.15413176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965,NA
"A15","40","A150049_new","Ashland","AW20_040_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",15.4485965973303,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",1069840.625,"Ridge Top",NA,2011,6,564,800,236,991,2.95275590551181,0.14202476352394,0.0475534995314539,214,192,111,"Douglas-fir - Dry,Cool,Ridge Top",-122.7219972,42.15413176,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,1941,NA
"A17","103","A170119_new","Ashland","AW22_103_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",16.5418557513383,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1405492.5,"Ridge Top",NA,2012,6,544,700,156,1103,2.95275590551181,0.14202476352394,0.0475534995314539,437,361,205,"Douglas-fir - Dry,Warm,Ridge Top",-122.72987228,42.15189564,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,NA,NA,NA,NA,NA,NA,NA,NA,2012,2012,1964,NA
"A17","2","A170011_new","Ashland","AW22_002_02_new","1_new",1,37,"Hardwood","A","density",0.1,NA,"NO","ARME",12.7173684630262,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1405492.5,"Ridge Top",NA,2012,6,544,700,156,1103,5.23622047244095,0.355163787710378,0.14954201834878,437,361,205,"Douglas-fir - Dry,Warm,Ridge Top",-122.72987228,42.15189564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,NA
"A17","26","A170031_new","Ashland","AW22_026_02_new","1_new",1,35,"Hardwood","A","density",0.1,NA,"NO","ARME",12.0166482753371,4,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1405492.5,"Ridge Top",NA,2012,6,544,700,156,1103,3.89763779527559,0.22145340628121,0.0828572175836054,437,361,205,"Douglas-fir - Dry,Warm,Ridge Top",-122.72987228,42.15189564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,NA
"A17","86","A170004_new","Ashland","AW22_086_02_new","1_new",1,120,"Hardwood","A","density",0.1,"A1704","YES","ARME",49.6650396036935,3,"LIVE",1,NA,NA,NA,NA,45,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1405492.5,"Ridge Top",NA,2012,6,544,700,156,1103,5.74803149606299,0.412316412659158,0.180204514846662,437,361,205,"Douglas-fir - Dry,Warm,Ridge Top",-122.72987228,42.15189564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,NA
"A19","1","A190011_new","Ashland","AW26_001_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",26.2983331447567,0,"CUT STUMP",2,NA,NA,NA,NA,NA,2005,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",981117.9375,"Ridge Top",NA,2011,6,564,792,228,1019,6.5748031496063,0.511225380971867,0.235772364165817,105,193,127,"Douglas-fir - Dry,Cool,Ridge Top",-122.71329838,42.14932894,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,NA,NA,NA,NA,NA,NA,NA,NA,2005,2005,1928,NA
"A19","59","A190103_new","Ashland","AW26_059_02_new","1_new",1,90,"Hardwood","A","density",0.1,NA,"NO","ARME",14.7728916150174,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",981117.9375,"Ridge Top",NA,2011,6,564,792,228,1019,14.0157480314961,1.7162717347852,1.07142050073215,105,193,127,"Douglas-fir - Dry,Cool,Ridge Top",-122.71329838,42.14932894,"Pacific madrone","Ridgetop","Medium",0.0497322111706197,0.140333333333333,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,1916,NA
"A19","78","A190165_new","Ashland","AW26_078_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",10.9373538483468,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",981117.9375,"Ridge Top",NA,2011,6,564,792,228,1019,0.984251968503937,0.024488944517889,0.00528372217016155,105,193,127,"Douglas-fir - Dry,Cool,Ridge Top",-122.71329838,42.14932894,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-46.0852578110958,-23.0426289055479,-9.56355507776901,-27.8346365876187,-13.9173182938093,-5.77620898133034,1988,1997,1988,1997,1921,NA
"A20","29","A200036_new","Ashland","AW74_029_02_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7682425885271,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1302599.125,"Ridge Top",NA,2012,6,520,661,141,1153,10.3937007874016,1.06373227477399,0.589206880594527,251,380,245,"Douglas-fir - Dry,Warm,Ridge Top",-122.68582036,42.14811934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1942,NA
"A20","31","A200038_new","Ashland","AW74_031_01_new","1_new",1,30,"Hardwood","A","density",0.1,NA,"NO","ARME",13.2235188302616,0,"CUT STUMP",2,NA,NA,NA,NA,NA,2005,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1302599.125,"Ridge Top",NA,2012,6,520,661,141,1153,4.50751692913386,0.279447215420213,0.110815911306506,251,380,245,"Douglas-fir - Dry,Warm,Ridge Top",-122.68582036,42.14811934,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,NA,NA,NA,NA,NA,NA,NA,NA,2005,2005,1932,NA
"A21","109","A210111_new","Ashland","AW06_109_03_new","2_new",1,75,"Hardwood","A","density",0.1,NA,"NO","ARME",15.4992797099686,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"ABCO/BENE2","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Warm",1423627.25,"Mid Slope",NA,2011,6,565,750,185,1456,4.37007874015748,0.26593948259393,0.104161185373697,352,428,263,"White fir - Intermediate,Warm,Mid Slope",-122.74340448,42.1477074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1961,NA
"A28","20","A280024_new","Ashland","AW04_020_03_new","2_new",1,95,"Hardwood","A","density",0.1,NA,"NO","ARME",25.6600192813537,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"ABCO-PSME/ROGY","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",1119313.5,"Ridge Top",NA,2011,6,582,825,243,1228,11.496062992126,1.24990963462325,0.720818059386647,348,353,217,"White fir - Intermediate,Cool,Ridge Top",-122.67312056,42.13829521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949,NA
"A28","24","A280028_new","Ashland","AW04_024_02_new","1_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",35.7274372860263,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"ABCO-PSME/ROGY","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",1119313.5,"Ridge Top",NA,2011,6,582,825,243,1228,10.8267716535433,1.13552934904981,0.639330382589547,348,353,217,"White fir - Intermediate,Cool,Ridge Top",-122.67312056,42.13829521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949,NA
"A28","66","A280077_new","Ashland","AW04_066_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",28.560265560461,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"ABCO-PSME/ROGY","White fir - Intermediate","Mediterranean California Mesic Mixed Conifer Forest and Woodland","Cool",1119313.5,"Ridge Top",NA,2011,6,582,825,243,1228,5.70866141732283,0.407807169792628,0.177744413804234,348,353,217,"White fir - Intermediate,Cool,Ridge Top",-122.67312056,42.13829521,"Pacific madrone","Ridgetop","Small",0.0497322111706197,0.143888888888889,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,1923,NA
